title,url
Kristian Lecours – General knowledge & Trivia,https://create.kahoot.it/pages/63cf43ce-c230-4e6e-b2e9-3bf2fb1f079d
Rohitash Raj – Science,https://create.kahoot.it/pages/e6240bab-02b2-4311-aed3-34b7aaa6a78a
Cora Lauderdale – Math,https://create.kahoot.it/pages/11c90d7d-76af-414c-9988-785e4e982920
Mona Hosny Abdellatif – Science,https://create.kahoot.it/pages/d292fe6f-0b4e-477b-bba4-1160baa4f41d
Floridablanca – Science & Nutrition,https://create.kahoot.it/v2/profiles/f37bae70-6a5a-4dc4-942e-7e99a2cedf40
Maurice Gravidez – Science,https://create.kahoot.it/pages/e70d4a9c-e403-4e4b-a8f5-b2ccc69f2cbb
Kristen Davis – Math & Trivia,https://create.kahoot.it/v2/profiles/59840c0d-681a-42e9-b933-779780c29e72
Neeta Arsule – Science,https://create.kahoot.it/pages/0a28c3f4-b899-4b98-85cf-31ce28dbd7d0
Ashish Dhekan – General knowledge,https://create.kahoot.it/pages/561476e5-da05-4b89-8ec7-9d35a8eccdf3
Peter Smith – Science,https://create.kahoot.it/pages/6f5b0e81-a5e8-4c07-8711-530a2154948a
Muhammad Aminuddin – Biomedical Science,https://create.kahoot.it/pages/b1c1b6a1-2f90-4a12-b359-12da8c346b66
Anamika Jha – Science,https://create.kahoot.it/pages/98da158d-691c-407d-814f-937dc28ff6ee
Dineshwari Borkar – Math,https://create.kahoot.it/pages/a58b744f-b406-42c7-a009-15828bbc08ec
Maria José Giavedoni – Trivia,https://create.kahoot.it/pages/b0569eb6-4d2f-4551-bdf6-ce2686f8abc7
María Luz Colque – Math & Trivia,https://create.kahoot.it/pages/f2e7929d-562f-4d83-8fc6-1c8241764b5d
Miles Nottage – Music Tech,https://create.kahoot.it/pages/00c4b447-f5c6-41a4-8e95-db7b232ea87c
Wendi Ennis – Business,https://create.kahoot.it/pages/007b763f-e81c-4da4-98b0-c521f36f745a?_=1596549011
Melissa DeWitt – Math & SEL,https://create.kahoot.it/pages/823f478c-e506-40a2-9627-8b10520f4463?_=1596542408
Amanda Batty – Math,https://create.kahoot.it/pages/331efe87-b957-4d95-83f6-f26d1d97f85f?_=1596111006
Rajni Bhatia – Math,https://create.kahoot.it/pages/9832ccea-2795-4551-9fe8-ab65b5dfbc64?_=1596026107
Nicole L Lutzke – Math & ELA,https://create.kahoot.it/pages/2e0cbf39-5443-4c0f-9c03-6c748d58df14
Linda Hochstetler – Science & History,https://create.kahoot.it/pages/fb834da6-9181-4859-8d23-edd835283989?_=1595848509
American Football Trivia,https://create.kahoot.it/pages/0f99068f-a310-4670-86e3-19fd0b05cf85
Jaye Schaffer – Math,https://create.kahoot.it/pages/d38a9b93-9c20-44ff-bfb7-76e8170497fe?_=1595846708
Kate – Physical Education,https://create.kahoot.it/pages/ace1624f-e6c9-4fa9-aa10-5cf84c0b8949
Robin Johnson – Math,https://create.kahoot.it/pages/test/eff525df-1ebb-4434-8c44-c33b0b162d8f?_=1596466812
Katherine Hurlbert – Science & ELA,https://create.kahoot.it/pages/78b6fb66-ee5c-42ca-b047-cbb722f138a5
Daniel Timbal – ELA & Technology,https://create.kahoot.it/pages/test/c33f5b63-935a-4847-96b7-edd5e6cef47a?_=1594893311
Eric Kunto Aribowo – Ed Tech,https://create.kahoot.it/pages/test/6d835be8-fbfd-4758-a8a0-329fa45524c5
News & Trivia,https://create.kahoot.it/pages/62805ef3-c4dc-45c7-9180-9e7a569bc690
Math and Baseball trivia,https://create.kahoot.it/pages/c47faa8e-2dd3-4943-b5b2-cfb1f8ffcc95
Aimee Copple – Math & ELA,https://create.kahoot.it/pages/9bf441af-389d-4a09-8d47-0438af64b7d4
Jennifer Braswell – ELA & Technology,https://create.kahoot.it/pages/ea419844-b4ff-4e96-9296-8a6403696118
Chase Chatfield – Math & Art,https://create.kahoot.it/pages/36d153ce-e81d-4dd6-b1c2-6c60fe80d997
Tom Arntson – History & Science,https://create.kahoot.it/pages/cc7dfaea-a3ae-4c06-ab36-4d6e93c9356b
Steve Auslander – Math & History,https://create.kahoot.it/pages/57f16b9c-651a-481a-aa08-926fe98379bd
Alexandria Adams – ELA,https://create.kahoot.it/pages/ec2b0db9-5fe6-4b3a-92aa-e2ce8a2ca778
Glenn Cake – Français (FLE),https://create.kahoot.it/pages/0a9476d6-bafa-4a2f-b49c-664e8f6aa20e
Games for ages 16+,https://create.kahoot.it/pages/3fe82420-eb5a-47d4-a9ba-2bbe74dcabb9
Games for ages 11-16,https://create.kahoot.it/pages/9e984750-da06-4fba-8e4a-7fd72c7a40e9
Games for ages 3-11,https://create.kahoot.it/pages/e9d854ab-586d-4256-8186-aa8079af6597
English language,https://create.kahoot.it/pages/b9271209-f28b-4660-b8c4-78bdbd597c7a
Halloween,https://create.kahoot.it/pages/5be12809-9650-4ddf-ab60-3276fa948257
Earth Science by Kahoot!,https://create.kahoot.it/collection/1228076d-ea08-4bcb-a368-bf705a2d1618
Physical Science by Kahoot!,https://create.kahoot.it/collection/76e3abf4-4025-4986-857f-24ed0588ed6b
Science by Kahoot! – Biology,https://create.kahoot.it/collection/bf4440aa-4076-46a2-814b-cbfffb0bc5ad
Valentine’s Day,https://create.kahoot.it/collection/dd8ca749-b882-4b55-bd88-09be27e5b1c3
Math by Kahoot! – Geometry,https://create.kahoot.it/pages/c1491fff-d68f-4cd3-8e41-9efcd531e577
Climate Challenge,https://create.kahoot.it/pages/ee0262c5-596e-4697-8e2f-d1a3355757ae
Spring kahoots,https://create.kahoot.it/collection/98d21acc-5a7f-4391-ad7a-47eaa8fe5cb1
Science by Kahoot!,https://create.kahoot.it/pages/a35defee-4337-4c08-b43b-898b29e9986c
Hour of Code games by Kahoot!,https://create.kahoot.it/profile/KahootHourOfCode
Halloween trivia,https://create.kahoot.it/pages/f66f417e-c766-4bd8-b951-d71e43db8986
History by Kahoot!,https://create.kahoot.it/pages/386bc919-641b-47ab-ae9c-0fa357f5a9fe
Math by Kahoot! – Algebra,https://create.kahoot.it/pages/06c63be8-68a3-4862-bb80-2aa8ecc7b8da?_=1587467186
Math by Kahoot! – Fractions,https://create.kahoot.it/pages/39e6623e-e66a-4b2d-abef-e6cc94764b3d?_=1587718517
Math by Kahoot! – Multiplication,https://create.kahoot.it/pages/1d4bf7d1-53e1-46f6-bbef-96e9b77ff42f
Thanksgiving,https://create.kahoot.it/pages/5be12809-9650-4ddf-ab60-3276fa948257
Games for Thanksgiving,https://create.kahoot.it/collection/1bd68fb4-c6e4-4a7a-a5c8-9e2d4bdeb2a4
Holiday Calendar 2020,https://create.kahoot.it/collection/20c4f8ce-a9c8-49a1-9f35-a9d2719ac5fc
